ids, screen_name, followers, retweet, inreplyto, favorite, friends, listed, text, location
38504192,AdamSpolane,1351,0,,0,144,46,"I wish it were Marco Rubio, Jeb Bush, Paul Ryan debating Hillary Clinton. We don't always get what we want https://t.co/XxlILfgrik",Houston
56383989,angelamcglowan,12580,0,,0,419,450,The American people are tired of the spin by Clinton/Kaine re: economy. Truth is-&gt;millions more in poverty &amp; stagnant wages,"Oxford, Mississippi"
3333325152,JoinCobra2016,55,0,,0,237,16,"#VPDebate mark Tim Kaines words, I think Clinton will privatize social security","Burbank, CA"
342809266,oTRUEBLUEo,253,1405,,0,406,1,RT @joshrogin: Pence is right. Clinton &amp; Obama tried to negotiate an Iraq troop extension but failed. Bush admin always anticipated such an…,
22736189,MoHossain,2361,0,,0,4995,241,"#PrivateEquity Wagers Campaign Cash on Clinton, Senate Races https://t.co/F1roapqAhw  @dawnmlim @LCooperReports",United States
771192570386886656,Nevas74,33,330,,0,67,3,"RT @asamjulian: WATCH: MSNBC reporter ask millennial women if they feel connected to Hillary Clinton, crowd yells ""NO!"" #TuesdayMotivation…",
205789121,MONEY,330811,0,,1,1387,4140,Family caregivers would get more Social Security under @HillaryClinton plan https://t.co/XozgPw4NPe #VPdebate,USA
707364394041212928,Kim13283440,276,0,,0,36,18,Kaine is just another liar like hitlery clinton! He look u in the eye and lie!,
3958532542,StuckeyFreddy,3539,7,,0,3729,126,"RT @oganali1000: KAINE is a iar, like Clinton. #VPDebate","Montgomery, AL"
417703895,izzyzuni,178,214,,0,743,2,"RT @TheDemocrats: ""Hillary Clinton and Tim Kaine want more of the same."" 
Sure, more of this would be great. #VPDebate https://t.co/Y2mbbmm…","Scottsdale, AZ"
472782784,KeepPounding16,145,0,,0,334,1,Makes me laugh people complaining on Kaine yet when Trump interrupted and Clinton you cheered #hypocrite #VPDebate,"Nevada, USA"
1345508484,MomOnRight,75,1405,,0,249,1,RT @joshrogin: Pence is right. Clinton &amp; Obama tried to negotiate an Iraq troop extension but failed. Bush admin always anticipated such an…,
709928696291811329,MomMom1942,93,38,,0,116,15,RT @TheresaMechele: Tim Kaine is totally obnoxious. Having a discussion doesn't mean its OK to constantly interrupt. Kaine and Clinton are…,
260522885,Toyland1960,2138,1091,,0,3371,27,"RT @Cernovich: Guccifer hacked the Clinton Foundation. 

https://t.co/cQjUz1y6fL",Shelbyville TN
3149728680,Alicia_Machado_,160,6806,,0,591,0,"RT @realDonaldTrump: Wow, did you just hear Bill Clinton's statement on how bad ObamaCare is. Hillary not happy. As I have been saying, REP…",L.A CA
1018273958,LukeMcQuillen,334,0,,0,346,4,I think the real tragedy is that Hillary Clinton still has a blackberry #VPDebate #MikePence #teamiphone,
22884051,AmoLaPaz,74,264,,0,137,2,"RT @TheBriefing2016: .@MoodysInvSvc:

Clinton's economic plans will create 10.4 million jobs. 

Trump's will cost almost 3.5 million. 

htt…",Iowa
592073660,digitalorality,1428,18,,0,3638,111,"RT @ABCPolitics: .@mike_pence responds that Kaine and Clinton use a lot of ""pre-done lines."" https://t.co/74DxTXyuC2 #debates https://t.co/…",
261183203,ProudTrumpster,627,59,,0,1462,25,"RT @JOMainEvent: When your trying to Talk about your friends ""achievements"" but that friend happens to be Hillary Clinton
#VPDebate https:/…",USA
1413180914,MBTT_com,1127,0,,0,824,45,Clinton: Trump’s PTSD comments ignorant and harmful https://t.co/ArNtIpWDbh,
246883126,Jaye6687,917,69,,0,988,34,"RT @charliekirk11: Tim Kaine has an impossible job

Pretend @HillaryClinton has integrity 

How can ANYONE defend the Clinton Foundation? #…","Baden, PA"
237750885,randy_barnes,147,4277,,0,141,16,"RT @GUCCIFER_2: #Guccifer2 hacked #ClintonFoundation
https://t.co/EDDoAj6FW8 https://t.co/kmSWJ9IKCA",
238723057,antiwesley,38,9631,,0,189,2,RT @wikileaks: How Hillary Clinton helped to crush democracy in #Honduras https://t.co/WH2vbIsiEI https://t.co/BNyPvdTvuE,
721511882926895104,LoInfoFlyover,627,6806,,0,962,24,"RT @realDonaldTrump: Wow, did you just hear Bill Clinton's statement on how bad ObamaCare is. Hillary not happy. As I have been saying, REP…",TrailerTrashistan
14260037,laurencoffman,638,0,,0,584,19,Tim Kaine is the Hillary Clinton of this debate. #VPDebate #ImWithHer,"Lansing, MI"
60893069,gsarnoldjr,5954,1079,,0,6026,87,RT @TeamTrump: There’s no doubt Obama-Clinton’s leadership has WEAKENED America’s stance on the world stage. #TrumpPence16 will put #Americ…,"North Carolina, USA"
2903124603,Mammavoice,22,6806,,0,71,1,"RT @realDonaldTrump: Wow, did you just hear Bill Clinton's statement on how bad ObamaCare is. Hillary not happy. As I have been saying, REP…",
123298275,davidRomans,159,226,,0,294,3,RT @PolitiFact: LIVE FACT-CHECK: Kaine said the Iran nuclear deal dealt with Iran “without firing a shot.” Mostly True. https://t.co/1hvLG1…,"Brooktondale, NY"
348256779,h60anita,116,1405,,0,413,16,RT @joshrogin: Pence is right. Clinton &amp; Obama tried to negotiate an Iraq troop extension but failed. Bush admin always anticipated such an…,
172157215,X3Cody,767,0,,0,1393,13,"Donald Trump and Mike Pence: American Flag pins🇺🇸
Hillary Clinton and Tim Kane: No American Flag pins🛇
The little things matter.

#VPDebate","Kansas, USA"
